id_phc,gossip,trusted,trustgossip,random,highslope,highflat,lowslope,lowflat,id_village_grp,district,created_year,created_month,shot_Penta1,shot_Penta2,shot_Penta3,shot_Measles1,nchildren,SMS33,SMS66
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2017,3,2,1,1,1,6,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2017,4,0,2,0,1,3,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2017,5,1,0,2,1,5,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2017,6,0,1,0,2,4,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2017,7,2,1,1,0,5,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2017,8,0,1,1,1,3,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2017,9,1,1,0,0,2,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2017,10,2,2,1,2,7,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2017,11,1,2,1,0,7,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2017,12,2,0,2,0,7,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2018,1,4,2,0,0,7,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2018,2,2,3,4,1,11,0,1
1_04,0,0,0,1,1,0,0,0,1_04_05_V03Y_0,Bhiwani,2018,3,1,0,3,0,6,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2017,3,2,3,2,5,13,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2017,4,3,3,3,2,11,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2017,5,3,3,1,1,7,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2017,6,0,2,4,4,10,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2017,7,2,0,2,4,8,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2017,8,1,2,0,1,6,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2017,9,5,0,3,1,9,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2017,10,1,3,0,3,8,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2017,11,1,2,4,2,12,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2017,12,5,3,1,4,14,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2018,1,1,4,1,1,7,0,1
1_05,0,0,1,0,0,0,0,0,1_05_02_V02Y_0,Bhiwani,2018,2,3,2,4,2,11,0,1
1_05,0,0,0,1,0,0,0,0,1_05_02_V04Y_0,Bhiwani,2017,3,1,2,0,2,5,0,1
1_05,0,0,0,1,0,0,0,0,1_05_02_V04Y_0,Bhiwani,2017,4,0,2,2,2,7,0,1
1_05,0,0,0,1,0,0,0,0,1_05_02_V04Y_0,Bhiwani,2017,5,3,1,1,2,9,0,1
1_05,0,0,0,1,0,0,0,0,1_05_02_V04Y_0,Bhiwani,2017,6,6,2,1,4,13,0,1
1_05,0,0,0,1,0,0,0,0,1_05_02_V04Y_0,Bhiwani,2017,7,3,4,1,1,7,0,1
1_05,0,0,0,1,0,0,0,0,1_05_02_V04Y_0,Bhiwani,2017,8,0,2,4,2,8,0,1
1_05,0,0,0,1,0,0,0,0,1_05_02_V04Y_0,Bhiwani,2017,9,5,1,3,1,16,0,1
